"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	867	"ROOT"
"2"	1	2	884	867	"Genetic"
"3"	1	3	884	867	"Genetic"
"4"	1	4	884	867	"Genetic"
"5"	1	5	884	867	"Genetic"
"6"	1	6	884	867	"Genetic"
"7"	1	7	884	867	"Genetic"
"8"	1	8	884	867	"Genetic"
"9"	3	9	883	867	"Genetic"
"10"	3	10	883	867	"Genetic"
"11"	3	11	883	867	"Genetic"
"12"	1	12	882	867	"Genetic"
"13"	1	13	882	867	"Genetic"
"14"	2	14	882	867	"Genetic"
"15"	4	15	882	867	"Genetic"
"16"	9	16	882	867	"Genetic"
"17"	1	17	881	867	"Genetic"
"18"	13	18	881	867	"Genetic"
"19"	1	19	880	867	"Genetic"
"20"	2	20	880	867	"Genetic"
"21"	2	21	880	867	"Genetic"
"22"	9	22	880	867	"Genetic"
"23"	1	23	879	867	"Genetic"
"24"	3	24	879	867	"Genetic"
"25"	9	25	879	867	"Genetic"
"26"	9	26	879	867	"Genetic"
"27"	16	27	879	867	"Genetic"
"28"	16	28	879	867	"Genetic"
"29"	1	29	878	867	"Genetic"
"30"	3	30	878	867	"Genetic"
"31"	3	31	878	867	"Genetic"
"32"	3	32	878	867	"Genetic"
"33"	3	33	878	867	"Genetic"
"34"	15	34	878	867	"Genetic"
"35"	15	35	878	867	"Genetic"
"36"	22	36	878	867	"Genetic"
"37"	25	37	878	867	"Genetic"
"38"	26	38	878	867	"Genetic"
"39"	1	39	877	867	"Genetic"
"40"	19	40	877	867	"Genetic"
"41"	25	41	877	867	"Genetic"
"42"	25	42	877	867	"Genetic"
"43"	27	43	877	867	"Genetic"
"44"	28	44	877	867	"Genetic"
"45"	30	45	877	867	"Genetic"
"46"	30	46	877	867	"Genetic"
"47"	30	47	877	867	"Genetic"
"48"	3	48	876	867	"Genetic"
"49"	3	49	876	867	"Genetic"
"50"	8	50	876	867	"Genetic"
"51"	21	51	876	867	"Genetic"
"52"	21	52	876	867	"Genetic"
"53"	22	53	876	867	"Genetic"
"54"	43	54	876	867	"Genetic"
"55"	1	55	875	867	"Genetic"
"56"	2	56	875	867	"Genetic"
"57"	22	57	875	867	"Genetic"
"58"	27	58	875	867	"Genetic"
"59"	30	59	875	867	"Genetic"
"60"	30	60	875	867	"Genetic"
"61"	33	61	875	867	"Genetic"
"62"	43	62	875	867	"Genetic"
"63"	48	63	875	867	"Genetic"
"64"	1	64	874	867	"Genetic"
"65"	1	65	874	867	"Genetic"
"66"	1	66	874	867	"Genetic"
"67"	15	67	874	867	"Genetic"
"68"	23	68	874	867	"Genetic"
"69"	43	69	874	867	"Genetic"
"70"	45	70	874	867	"Genetic"
"71"	45	71	874	867	"Genetic"
"72"	45	72	874	867	"Genetic"
"73"	1	73	873	867	"Genetic"
"74"	1	74	873	867	"Genetic"
"75"	1	75	873	867	"Genetic"
"76"	15	76	873	867	"Genetic"
"77"	27	77	873	867	"Genetic"
"78"	45	78	873	867	"Genetic"
"79"	45	79	873	867	"Genetic"
"80"	67	80	873	867	"Genetic"
"81"	69	81	873	867	"Genetic"
"82"	69	82	873	867	"Genetic"
"83"	71	83	873	867	"Genetic"
"84"	1	84	872	867	"Genetic"
"85"	1	85	872	867	"Genetic"
"86"	43	86	872	867	"Genetic"
"87"	43	87	872	867	"Genetic"
"88"	58	88	872	867	"Genetic"
"89"	71	89	872	867	"Genetic"
"90"	78	90	872	867	"Genetic"
"91"	34	91	871	867	"Genetic"
"92"	45	92	871	867	"Genetic"
"93"	47	93	871	867	"Genetic"
"94"	67	94	871	867	"Genetic"
"95"	67	95	871	867	"Genetic"
"96"	81	96	871	867	"Genetic"
"97"	81	97	871	867	"Genetic"
"98"	85	98	871	867	"Genetic"
"99"	15	99	870	867	"Genetic"
"100"	45	100	870	867	"Genetic"
"101"	82	101	870	867	"Genetic"
"102"	83	102	870	867	"Genetic"
"103"	84	103	870	867	"Genetic"
"104"	4	104	869	867	"Genetic"
"105"	12	105	869	867	"Genetic"
"106"	21	106	869	867	"Genetic"
"107"	27	107	869	867	"Genetic"
"108"	27	108	869	867	"Genetic"
"109"	27	109	869	867	"Genetic"
"110"	42	110	869	867	"Genetic"
"111"	45	111	869	867	"Genetic"
"112"	50	112	869	867	"Genetic"
"113"	58	113	869	867	"Genetic"
"114"	59	114	869	867	"Genetic"
"115"	67	115	869	867	"Genetic"
"116"	70	116	869	867	"Genetic"
"117"	70	117	869	867	"Genetic"
"118"	70	118	869	867	"Genetic"
"119"	70	119	869	867	"Genetic"
"120"	73	120	869	867	"Genetic"
"121"	83	121	869	867	"Genetic"
"122"	88	122	869	867	"Genetic"
"123"	2	123	868	867	"Genetic"
"124"	2	124	868	867	"Genetic"
"125"	4	125	868	867	"Genetic"
"126"	27	126	868	867	"Genetic"
"127"	29	127	868	867	"Genetic"
"128"	56	128	868	867	"Genetic"
"129"	58	129	868	867	"Genetic"
"130"	82	130	868	867	"Genetic"
"131"	85	131	868	867	"Genetic"
"132"	103	132	868	867	"Genetic"
"133"	104	133	868	867	"Genetic"
"134"	105	134	868	867	"Genetic"
"135"	116	135	868	867	"Genetic"
"136"	122	136	868	867	"Genetic"
"137"	4	137	867	867	"Genetic"
"138"	25	138	867	867	"Genetic"
"139"	29	139	867	867	"Genetic"
"140"	34	140	867	867	"Genetic"
"141"	34	141	867	867	"Genetic"
"142"	34	142	867	867	"Genetic"
"143"	34	143	867	867	"Genetic"
"144"	34	144	867	867	"Genetic"
"145"	52	145	867	867	"Genetic"
"146"	56	146	867	867	"Genetic"
"147"	56	147	867	867	"Genetic"
"148"	71	148	867	867	"Genetic"
"149"	88	149	867	867	"Genetic"
"150"	88	150	867	867	"Genetic"
"151"	94	151	867	867	"Genetic"
"152"	95	152	867	867	"Genetic"
"153"	104	153	867	867	"Genetic"
"154"	122	154	867	867	"Genetic"
"155"	122	155	867	867	"Genetic"
